id,station_id,station_name,type,path,data,status,deleted_at,created_at,updated_at,comment,solution,solved_by,solved_at,event_solution_id,,,,,3987d5d1-1189-4164-8850-6aeb26fb2a41,Clínica Universitaria
1,3987d5d1-1189-4164-8850-6aeb26fb2a41,Clínica Universitaria,service_error,proxy.actions.start_the_proxy,"{""service"": ""proxy"", ""action"": ""start_the_proxy"", ""stdout"": ""Not running"", ""stderr"": """", ""description"": ""El proxy no est\u00e1 corriendo"", ""solution"": ""Iniciar el servicio de proxy"", ""command"": ""cd /mnt/usb/proxy; sudo python port-forward.py &"", ""path"": ""proxy.actions.start_the_proxy""}",auto_solved,,2022-04-28 02:44:33.000,2022-05-19 18:46:48.000,,,,,,,,,,5c73b8d1-7adb-4fc9-a420-fa715112ba05,Rancho escuela
2,5c73b8d1-7adb-4fc9-a420-fa715112ba05,Rancho escuela,service_error,mysql.actions,"{""service"": ""mysql"", ""stdout"": ""\u25cf mysql.service - LSB: Start and stop the mysql database server daemon\n   Loaded: loaded (/etc/init.d/mysql)\n   Active: failed (Result: exit-code) since Wed 1969-12-31 17:00:55 MST; 52 years 3 months ago\n  Process: 1848 ExecStart=/etc/init.d/mysql start (code=exited, status=1/FAILURE)"", ""stderr"": """", ""description"": null, ""solution"": null, ""command"": null, ""path"": ""mysql.actions""}",auto_solved,,2022-04-28 02:44:43.000,2022-05-19 20:23:46.000,,,,,,,,,,b27aee2f-cbc9-43d2-adf5-1661106cf0df,Anapra
3,5c73b8d1-7adb-4fc9-a420-fa715112ba05,Rancho escuela,service_error,proxy.actions.start_the_proxy,"{""service"": ""proxy"", ""action"": ""start_the_proxy"", ""stdout"": ""Not running"", ""stderr"": """", ""description"": ""El proxy no est\u00e1 corriendo"", ""solution"": ""Iniciar el servicio de proxy"", ""command"": ""cd /mnt/usb/proxy; sudo python port-forward.py &"", ""path"": ""proxy.actions.start_the_proxy""}",auto_solved,,2022-04-28 02:44:44.000,2022-05-20 03:07:44.000,,,,,,,,,,b7077304-c7ca-4247-8e04-19586bdb8f73,IIT
4,cfbe24ac-17b3-4089-a692-9d0f5c9e5394,Babícora,network_error,,"{""path"": """"}",auto_solved,,2022-04-28 02:44:56.000,2022-04-28 02:48:02.000,,,,,,,,,,cfbe24ac-17b3-4089-a692-9d0f5c9e5394,Babícora
5,3987d5d1-1189-4164-8850-6aeb26fb2a41,Clínica Universitaria,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""1651116571"", ""stderr"": """", ""description"": ""Por alguna extra\u00f1a raz\u00f3n el comando date '+%\\s' di\u00f3 error"", ""solution"": ""Por favor, revisa el comando date en la estaci\u00f3n"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 03:29:50.000,2022-04-28 16:20:51.000,,,,,,,,,,e371e793-318b-4910-a87d-7ac6c9f2c67f,Rancho Reforma
6,5c73b8d1-7adb-4fc9-a420-fa715112ba05,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""1651116593"", ""stderr"": """", ""description"": ""Por alguna extra\u00f1a raz\u00f3n el comando date '+%\\s' di\u00f3 error"", ""solution"": ""Por favor, revisa el comando date en la estaci\u00f3n"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 03:29:58.000,2022-04-28 16:20:58.000,,,,,,,,,,,
7,b7077304-c7ca-4247-8e04-19586bdb8f73,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""1651116584"", ""stderr"": """", ""description"": ""Por alguna extra\u00f1a raz\u00f3n el comando date '+%\\s' di\u00f3 error"", ""solution"": ""Por favor, revisa el comando date en la estaci\u00f3n"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 03:30:00.000,2022-04-28 16:20:59.000,,,,,,,,,,,
8,cfbe24ac-17b3-4089-a692-9d0f5c9e5394,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""1651116605"", ""stderr"": """", ""description"": ""Por alguna extra\u00f1a raz\u00f3n el comando date '+%\\s' di\u00f3 error"", ""solution"": ""Por favor, revisa el comando date en la estaci\u00f3n"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 03:30:03.000,2022-04-28 16:21:02.000,,,,,,,,,,,
9,e371e793-318b-4910-a87d-7ac6c9f2c67f,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""1651116605"", ""stderr"": """", ""description"": ""Por alguna extra\u00f1a raz\u00f3n el comando date '+%\\s' di\u00f3 error"", ""solution"": ""Por favor, revisa el comando date en la estaci\u00f3n"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 03:30:10.000,2022-04-28 16:21:07.000,,,,,,,,,,,
10,5c73b8d1-7adb-4fc9-a420-fa715112ba05,,network_error,,"{""path"": """"}",auto_solved,,2022-04-28 04:22:15.000,2022-04-28 04:32:46.000,,,,,,,,,,,
11,b7077304-c7ca-4247-8e04-19586bdb8f73,,service_error,RoPi.actions.read_write_enabled,"{""service"": ""RoPi"", ""action"": ""read_write_enabled"", ""stdout"": ""rw"", ""stderr"": """", ""description"": ""La estaci\u00f3n est\u00e1 en modo escritura"", ""solution"": ""Reactivar el modo s\u00f3lo lectura"", ""command"": ""sudo remountro"", ""path"": ""RoPi.actions.read_write_enabled""}",auto_solved,,2022-04-28 06:16:41.000,2022-04-28 06:27:08.000,,,,,,,,,,,
12,cfbe24ac-17b3-4089-a692-9d0f5c9e5394,,network_error,,"{""path"": """"}",auto_solved,,2022-04-28 12:40:33.000,2022-04-28 12:50:54.000,,,,,,,,,,,
13,3987d5d1-1189-4164-8850-6aeb26fb2a41,,driver_error,,"{""path"": """"}",auto_solved,,2022-04-28 15:57:01.000,2022-04-28 16:20:51.000,,,,,,,,,,,
14,5c73b8d1-7adb-4fc9-a420-fa715112ba05,,driver_error,,"{""path"": """"}",auto_solved,,2022-04-28 15:57:04.000,2022-04-28 16:20:58.000,,,,,,,,,,,
15,b7077304-c7ca-4247-8e04-19586bdb8f73,,driver_error,,"{""path"": """"}",auto_solved,,2022-04-28 15:57:05.000,2022-04-28 16:20:59.000,,,,,,,,,,,
16,cfbe24ac-17b3-4089-a692-9d0f5c9e5394,,driver_error,,"{""path"": """"}",auto_solved,,2022-04-28 15:57:06.000,2022-04-28 16:21:02.000,,,,,,,,,,,
17,e371e793-318b-4910-a87d-7ac6c9f2c67f,,driver_error,,"{""path"": """"}",auto_solved,,2022-04-28 15:57:10.000,2022-04-28 16:21:07.000,,,,,,,,,,,
18,3987d5d1-1189-4164-8850-6aeb26fb2a41,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""true -20"", ""stderr"": """", ""description"": ""La fecha es incorrecta"", ""solution"": ""Verifique la fecha y hora del sistema"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 16:41:33.000,2022-04-28 16:52:40.000,,,,,,,,,,,
19,5c73b8d1-7adb-4fc9-a420-fa715112ba05,,service_error,time.actions.bad_time,"{""service"": ""time"", ""action"": ""bad_time"", ""stdout"": ""true -20"", ""stderr"": """", ""description"": ""La fecha es incorrecta"", ""solution"": ""Verifique la fecha y hora del sistema"", ""command"": null, ""path"": ""time.actions.bad_time""}",auto_solved,,2022-04-28 16:41:41.000,2022-04-28 16:52:46.000,,,,,,,,,,,
